x, n, part_a, part_b, actual, error_a, error_b
5.5, 10, 0.708423615, 0.708423615, 0.708669774, 0.000246159, 0.000246159
5.5, 12, 0.708671570, 0.708667755, 0.708669774, -0.000001796, 0.000002019
5.5, 14, 0.708671570, 0.708667755, 0.708669774, -0.000001796, 0.000002019
5.5, 16, 0.708671570, 0.708667755, 0.708669774, -0.000001796, 0.000002019
5.5, 18, 0.708671570, 0.708667755, 0.708669774, -0.000001796, 0.000002019
5.5, 20, 0.708671570, 0.708667755, 0.708669774, -0.000001796, 0.000002019
6.0, 10, 0.958774567, 0.958778381, 0.960170286, 0.001395719, 0.001391905
6.0, 12, 0.960159302, 0.960166931, 0.960170286, 0.000010984, 0.000003355
6.0, 14, 0.960166931, 0.960174561, 0.960170286, 0.000003355, -0.000004275
6.0, 16, 0.960166931, 0.960174561, 0.960170286, 0.000003355, -0.000004275
6.0, 18, 0.960166931, 0.960174561, 0.960170286, 0.000003355, -0.000004275
6.0, 20, 0.960166931, 0.960174561, 0.960170286, 0.000003355, -0.000004275
